date,content,username
2021-03-06 04:57:15+00:00,@stoolpresidente Love this so much let’s go. Gear up. Amc gme doge to the moon. If you like art make sure to check out my instapage @salty_abstract like share follow. https://t.co/SDozYZLb3P,salty_abstract
2021-03-06 04:56:52+00:00,gas prices be acting like the gme stock,ppboy37081772
2021-03-06 04:56:33+00:00,"Check out my new video. Beginner Trading,  1st time traders new to stock market. $amc $gme $rkt . To the moon and outer space,  have to start your journey somehow!!
https://t.co/E8RdRcqnO2",AskHexx
2021-03-06 04:56:01+00:00,@elonmusk I am actually begging you to tweet GME,xX_chroma_Xx
2021-03-06 04:55:41+00:00,"This is very good article explaining what is going on. So o would recommend you to read it. $amc $gme $sndl $rkt $nio $pltr $spce $tsla $zom @Forbes #stocks #investing
#gammasqueeze  #ShortSqueeze  @AMCTheatres #amc #amctomoon
https://t.co/fnnqe1Bswj",os996
2021-03-06 04:55:18+00:00,"上段：チームGME
下段：チーム大麻 https://t.co/WEeed47o9U",PlayerNatural9
2021-03-06 04:55:03+00:00,@elonmusk Can you help us gme bois out again? That would be nice,IttssJusttMe
2021-03-06 04:54:55+00:00,"363425EE :参戦ID
参加者募集！
Lv120 グリームニル
https://t.co/lRifekGVYt",gme_22
2021-03-06 04:54:32+00:00,Te extrañe paracetamol con cafeína.❤️ https://t.co/RLWkjRyI5Q,tania_embriz
2021-03-06 04:53:43+00:00,@miagreyxox Wow 😍,RaulGme
2021-03-06 04:53:26+00:00,@MPSumedhanand Jai ho,cW14wWRReJWGme6
2021-03-06 04:53:18+00:00,"@yosaycheese The author is basically explaining how the squeeze play being made by the GME crowd is brutal and there is likely no way for the shorts to wiggle out of it, but may try with using puts",TheHoustonWade
2021-03-06 04:53:04+00:00,@mario_dico50 Después de recordar un poco los cadáveres que guarda usted en el closet entiendo el sesgo en su opinión. https://t.co/GyESC8vmQ5,JoelBecerraGme1
2021-03-06 04:51:10+00:00,Can’t wait to short them. #stonks #gme #DiamondHands https://t.co/cryD2s5H0B,dormgod
